team_code,team_city,team_name,team_league
ATL,Atlanta,Braves,National
ML4,Milwaukee,Brewers,American
BOS,Boston,Red Sox,American
CAL,California,Angels,American
BAL,Baltimore,Orioles,American
NYN,New York,Mets,National
OAK,Oakland,Athletics,American
SEA,Seattle,Mariners,American
DET,Detroit,Tigers,American
CHN,Chicago,Cubs,National
SLN,St. Louis,Cardnials,National
KCA,Kansas City,Royals,American
SDN,San Diego,Padres,National
TOR,Toronto,Blue Jays,American
CHA,Chicago,White Sox,American
PHI,Philadelphia,Phillies,National
PIT,Pittsburgh,Pirates,National
SFN,San Francisco,Giants,National
MIN,Minnesotta,Twins,American
HOU,Houston,Astros,National
NYA,New York,Yankees,American
CLE,Cleveland,Indians,American
TEX,Texas,Rangers,American
SE1,Seattle,Pilots,American
CIN,Cincinatti,Reds,National
MON,Montreal,Expos,National
LAN,Los Angeles,Dodgers,National
WS2,Washington,Senators,American
